FID,geonameid,name,asciiname,alternatenames,latitude,longitude,fclass,fcode,country,cc2,admin1,admin2,admin3,admin4,population,elevation,gtopo30,timezone,moddate,geom
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7eb5,2654332,Buncrana,Buncrana,Buncrana,55.13333,-7.45,P,PPL,IE,,U,6,,,5546,,20,Europe/Dublin,2011-06-09,POINT (55.13333 -7.45)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7eb4,2960869,Youghal,Youghal,"Eochaill,Jol,Yoal,Youghal,ioli,Йол,იოლი",51.95,-7.85056,P,PPL,IE,,M,4,,,6868,,60,Europe/Dublin,2014-05-31,POINT (51.95 -7.85056)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7eb3,2960936,Wicklow,Wicklow,"Cill Maintain,Cill Maintainn,Cill Maintáinn,Cill Manntein,Cill Manntéin,Cill Mantan,Cill Mhanntain,Cill Mhantain,Cill Mhantáin,Wicklow",52.975,-6.04944,P,PPLA2,IE,,L,31,,,14048,,53,Europe/Dublin,2013-12-08,POINT (52.975 -6.04944)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7eb2,2960964,Loch Garman,Loch Garman,"Loch Garman,Wexford",52.33417,-6.4575,P,PPLA2,IE,,L,30,,,19913,,5,Europe/Dublin,2013-08-14,POINT (52.33417 -6.4575)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7eb1,2960970,Westport,Westport,"Caair ny Mart,Cathair na Mart,Uehstport,Uestport,Westport,Уестпорт,Уэстпорт,უესტპორტი",53.8,-9.51667,P,PPL,IE,,C,20,,,6200,,19,Europe/Dublin,2012-02-28,POINT (53.8 -9.51667)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7eb0,2960992,Waterford,Waterford,"Port Lairge,Port Láirge,Purt Largey,Uoterford,Uoturford,Voterford,Voterfordas,WAT,Waterford,Waterford city,u~otafodo,watrfwrd,wo te fu de,woteopeodeu,Вотерфорд,Уотерфорд,Уотърфорд,واترفورد,უოტერფორდი,ウォーターフォード,沃特福德,워터퍼드",52.25833,-7.11194,P,PPLA2,IE,,M,27,,,47904,,10,Europe/Dublin,2012-03-01,POINT (52.25833 -7.11194)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7eaf,2961086,Tullamore,Tullamore,"Talamor,Talamoras,Tallamor,Tulach Mhor,Tulach Mhór,Tulamor,Tullamore,taramoa,thul la mxr,twlamwr,Таламор,Талламор,Тъламор,تولامور,ทูลลามอร์,ტალამორი,タラモア",53.27389,-7.48889,P,PPLA2,IE,,L,23,,,11575,,60,Europe/Dublin,2012-03-01,POINT (53.27389 -7.48889)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7eae,2961099,Tuam,Tuam,"Tuaim,Tuam,Tuum,chuamu,chumi,Туам,Туъм,ჩუმი,チュアム",53.51667,-8.85,P,PPL,IE,,C,10,,,6130,,38,Europe/Dublin,2012-01-18,POINT (53.51667 -8.85)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7ead,2961120,Trá Mhór,Tra Mhor,Tramore,52.16235,-7.15244,P,PPL,IE,,M,27,,,9164,,43,Europe/Dublin,2010-08-14,POINT (52.16235 -7.15244)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7eac,2961123,Tralee,Tralee,"Tra Li,Traie Lee,Tralee,Trali,Trá Lí,torari,traly,Трали,ترالی,ტრალი,トラリー",52.27042,-9.70264,P,PPLA2,IE,,M,11,,,22941,10,8,Europe/Dublin,2014-12-18,POINT (52.27042 -9.70264)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7eab,2961214,Thurles,Thurles,"Durlas,Durlas Eile,Dúrlas Éile,Thurles,Tjorls,Turles,teolleseu,terlesi,Търлес,Тёрлс,თერლესი,털레스",52.68194,-7.80222,P,PPL,IE,,M,26,,,7588,,102,Europe/Dublin,2012-02-28,POINT (52.68194 -7.80222)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7eaa,2961235,Terenure,Terenure,"Roundtown,Terenure",53.30972,-6.28528,P,PPL,IE,,L,39,,,7674,,44,Europe/Dublin,2013-12-11,POINT (53.30972 -6.28528)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7ea9,2961284,Tallaght,Tallaght,"Talagtas,Talat,Talla,Tallaght,Tamhlacht,tla,Талат,Талла,تلا",53.2859,-6.37344,P,PPL,IE,IE,L,7,,,64282,,103,Europe/Dublin,2010-08-14,POINT (53.2859 -6.37344)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7ea8,2961297,Swords,Swords,"Sord,Sord Cholmcille,Sords,Sordsas,Suords,Swords,aswrdz,si wo si,swwrds,Сордс,Суордс,סוורדס,اسوردز,斯沃司",53.45972,-6.21806,P,PPLA,IE,,L,35,,,36924,,17,Europe/Dublin,2014-07-08,POINT (53.45972 -6.21806)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7ea7,2961423,Sligo,Sligo,"SXL,Shliggagh,Slaigo,Slajgo,Slajgou,Sligeach,Sligo,aslaygw,seullaigo,slyjw,suraigo,Слайго,Слайгоу,Слајго,اسلایگو,سليجو,スライゴ,슬라이고",54.26969,-8.46943,P,PPLA2,IE,,C,25,,,20228,13,10,Europe/Dublin,2014-07-16,POINT (54.26969 -8.46943)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7ea6,2961461,Skerries,Skerries,"Na Sceiri,Na Sceirí,Skerries",53.58278,-6.10833,P,PPL,IE,,L,35,,,9671,,-9999,Europe/Dublin,2013-11-26,POINT (53.58278 -6.10833)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7ea5,2961523,Shankill,Shankill,Shankill,53.22611,-6.12444,P,PPL,IE,,L,7,,,10102,,33,Europe/Dublin,2013-12-08,POINT (53.22611 -6.12444)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7ea4,2961589,Sandymount,Sandymount,Sandymount,53.335,-6.21139,P,PPL,IE,,L,7,,,8967,,-9999,Europe/Dublin,2013-12-08,POINT (53.335 -6.21139)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7ea3,2961607,Sallins,Sallins,"Na Sollain,Na Solláin,Sallins",53.24889,-6.66611,P,PPL,IE,,L,12,,,5283,,77,Europe/Dublin,2013-11-26,POINT (53.24889 -6.66611)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7ea2,2961651,An Ros,An Ros,Rush,53.52424,-6.10497,P,PPL,IE,,L,7,,,9231,,19,Europe/Dublin,2013-12-08,POINT (53.52424 -6.10497)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7ea1,2961730,Roscrea,Roscrea,"Ros Cre,Ros Cré,Roscrea,Roskrej,Роскрей",52.95111,-7.80167,P,PPL,IE,,M,38,,,5403,,113,Europe/Dublin,2013-11-26,POINT (52.95111 -7.80167)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7ea0,2961732,Roscommon,Roscommon,"Ros Comain,Ros Comáin,Roscommon,Rosecommon,Roskommon,Roskomon,Roskomonas,Roskomun,Ροσκόμον,Роскоммон,Роскомон,Роскомън,როსკომონი",53.63333,-8.18333,P,PPLA2,IE,,C,24,,,5693,,51,Europe/Dublin,2013-11-26,POINT (53.63333 -8.18333)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e9f,2961816,Ringsend,Ringsend,Ringsend,53.34194,-6.22639,P,PPLX,IE,,L,7,,,8202,,4,Europe/Dublin,2013-12-08,POINT (53.34194 -6.22639)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e9e,2961872,Ratoath,Ratoath,"Rath To,Ratoath,Ráth Tó",53.50806,-6.4625,P,PPL,IE,,L,21,,,9043,,92,Europe/Dublin,2013-11-26,POINT (53.50806 -6.4625)
geoname_pop5000.fid-13b4b46d_14b6fe18f0a_-7e9d,2961896,Rathmines,Rathmines,Rathmines,53.32028,-6.26333,P,PPLX,IE,,L,7,,,11044,,27,Europe/Dublin,2013-12-08,POINT (53.32028 -6.26333)
